route_pattern,route_kind,page_source,content_sources,repository_record_count,public_url_examples,sitemap_expected,search_coverage,edit_surface,evidence,notes
/experts,marketplace,src/app/experts/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/experts/page.tsx,
/experts/[slug],marketplace,src/app/experts/[slug]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/experts/[slug]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/faq,editorial,src/app/faq/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/faq/page.tsx,
/flights,service,src/app/flights/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/flights/page.tsx,
/flights/[route],service,src/app/flights/[route]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/flights/[route]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/forum,community,src/app/forum/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/forum/page.tsx,
/forum/[category],community,src/app/forum/[category]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/forum/[category]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/forum/[category]/[threadId],community,src/app/forum/[category]/[threadId]/page.tsx,,,,unknown_or_runtime,no_or_not_observed,page_component_or_runtime_provider,src/app/forum/[category]/[threadId]/page.tsx,Данные приходят из runtime/API либо статический реестр не найден этим baseline-сканером.
/gallery,public_static,src/app/gallery/page.tsx,,1,,not_asserted_for_static_route,no_or_not_observed,page_component_or_runtime_provider,src/app/gallery/page.tsx,
/guide,editorial,src/app/guide/page.tsx,,1,,yes,no_or_not_observed,page_component_or_runtime_provider,src/app/guide/page.tsx,
/guide/[slug],editorial,src/app/guide/[slug]/page.tsx,guide_topics_static|content_pages_static,19,/guide/bezopasnost|/guide/bronirovanie-i-oplata|/guide/dostoprimechatelnosti,yes,yes,static_data_or_cms_resolver,src/app/guide/[slug]/page.tsx,
