"asset_id","local_path","source_kind","author_recorded","source_url_recorded","license_recorded","legal_verification","status","owner","evidence"
"at-el-chalten-gallery-3","media/argentina-travel/el-chalten/1627394133358-chalt_n__14_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-el-chalten-hero","media/argentina-travel/el-chalten/1627394111592-_mg_5337web.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-bariloche-hero","media/places/bariloche/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","blocked_or_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-bariloche-gallery-1","media/places/bariloche/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-bariloche-gallery-3","media/places/bariloche/gallery-3.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-bariloche-gallery-4","media/places/bariloche/gallery-4.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-bariloche-gallery-1","media/argentina-travel/bariloche/1623694283294-rio_negro___cordillera___035___san_carlos_de_bariloche___catedral.","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-bariloche-gallery-2","media/argentina-travel/bariloche/1623694293897-rio_negro___cordillera___003___san_carlos_de_bariloche___centro_ci","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-bariloche-gallery-3","media/argentina-travel/bariloche/1623694300908-rio_negro___cordillera___054___parque_nahuel_huapi___cerro_tronado","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-bariloche-hero","media/argentina-travel/bariloche/1623694275857-rio_negro___cordillera___018___parque_llao_llao___lago_moreno.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
