"asset_id","local_path","role","contexts","exists","width","height","format","alt_recorded","caption_recorded","rights_metadata_complete","issue_codes","highest_severity","status","owner","evidence"
"place-el-chalten-gallery-1","media/places/el-chalten/gallery-1.jpg","hero","blog:patagonia-mini-trekking:card;blog:patagonia-mini-trekking:hero;literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;place:el-chalten:cover;place:el-chalten:gallery","yes","2560","1563","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-el-chalten-hero","media/places/el-chalten/hero.jpg","hero","blog:patagonia-за-3-дня:card;blog:patagonia-за-3-дня:hero;blog:patagonia-отели:card;blog:patagonia-отели:hero;blog:patagonia-ошибки:card;blog:patagonia-ошибки:hero;literal:src/lib/blog-post-image-bindings.ts;place:el-chalten:gallery","yes","1440","2560","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-el-chalten-gallery-1","media/argentina-travel/el-chalten/1627394120991-chalt_n__3_.jpg","gallery","kb:el-chalten:gallery;place:el-chalten:gallery","yes","1991","963","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-el-chalten-gallery-2","media/argentina-travel/el-chalten/1627394127788-_mg_5408web.jpg","gallery","kb:el-chalten:gallery;place:el-chalten:gallery","yes","1927","1285","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-el-chalten-gallery-3","media/argentina-travel/el-chalten/1627394133358-chalt_n__14_.jpg","gallery","kb:el-chalten:gallery;place:el-chalten:gallery","yes","3425","2284","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-el-chalten-hero","media/argentina-travel/el-chalten/1627394111592-_mg_5337web.jpg","hero","kb:el-chalten:hero;page:destinations:hub:hero;place:el-chalten:gallery","yes","2104","1403","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-bariloche-hero","media/places/bariloche/hero.jpg","hero","blog:patagonia-фото:card;blog:patagonia-фото:hero;literal:src/lib/blog-post-image-bindings.ts;place:bariloche:cover;place:bariloche:gallery;social:post-iv-bariloche-1","yes","1190","803","jpeg","yes","yes","yes","hero_resolution","medium","review_required","Media editor","var/ops/media-rights-readiness.json"
"place-bariloche-gallery-1","media/places/bariloche/gallery-1.jpg","gallery","blog:patagonia-автобусы:card;blog:patagonia-автобусы:hero;blog:patagonia-летом:card;blog:patagonia-летом:hero;literal:src/lib/blog-post-image-bindings.ts;place:bariloche:gallery","yes","1366","599","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-bariloche-gallery-3","media/places/bariloche/gallery-3.jpg","gallery","place:bariloche:gallery","yes","1792","1200","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-bariloche-gallery-4","media/places/bariloche/gallery-4.jpg","gallery","place:bariloche:gallery","yes","800","600","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-bariloche-gallery-1","media/argentina-travel/bariloche/1623694283294-rio_negro___cordillera___035___san_carlos_de_bariloche___catedral.","gallery","blog:natsionalnyy-park-lanin:rich-gallery;blog:natsionalnyy-park-los-alerses:rich-gallery;kb:bariloche:gallery;place:bariloche:gallery","yes","1200","1600","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-bariloche-gallery-2","media/argentina-travel/bariloche/1623694293897-rio_negro___cordillera___003___san_carlos_de_bariloche___centro_ci","gallery","kb:bariloche:gallery;place:bariloche:gallery","yes","2136","1425","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-bariloche-gallery-3","media/argentina-travel/bariloche/1623694300908-rio_negro___cordillera___054___parque_nahuel_huapi___cerro_tronado","gallery","kb:bariloche:gallery;place:bariloche:gallery","yes","1200","1600","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-bariloche-hero","media/argentina-travel/bariloche/1623694275857-rio_negro___cordillera___018___parque_llao_llao___lago_moreno.jpg","hero","kb:bariloche:hero;place:bariloche:gallery","yes","1600","1067","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-mendoza-hero","media/places/mendoza/hero.jpg","hero","literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;place:mendoza:cover;place:mendoza:gallery","yes","2560","1706","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-mendoza-gallery-1","media/places/mendoza/gallery-1.jpg","gallery","literal:src/lib/blog-post-image-bindings.ts;place:mendoza:gallery","yes","3264","2448","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-mendoza-gallery-2","media/places/mendoza/gallery-2.jpg","gallery","place:mendoza:gallery","yes","2560","805","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-mendoza-gallery-1","media/argentina-travel/mendoza/1623101920323-_dsc2215_lacarrera_tupungato.jpg","gallery","kb:mendoza:gallery;place:mendoza:gallery","yes","2352","1568","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-mendoza-gallery-2","media/argentina-travel/mendoza/1623101928137-_fgi2828_luj_decuyo.jpg","gallery","kb:mendoza:gallery;place:mendoza:gallery","yes","3000","2001","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-mendoza-gallery-3","media/argentina-travel/mendoza/1623101939166-mra59928_altoagrelo.jpg","gallery","kb:mendoza:gallery;place:mendoza:gallery","yes","3182","4773","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"at-mendoza-hero","media/argentina-travel/mendoza/1623101913361-mendoza__13_.jpg","hero","kb:mendoza:hero;place:mendoza:gallery","yes","1585","2377","webp","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-maipu-hero","media/places/maipu/hero.jpg","hero","place:maipu:cover;place:maipu:gallery","yes","1920","1280","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-lujan-de-cuyo-hero","media/places/lujan-de-cuyo/hero.jpg","hero","place:lujan-de-cuyo:cover;place:lujan-de-cuyo:gallery","yes","2000","1312","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-uco-valley-hero","media/places/uco-valley/hero.jpg","hero","place:uco-valley:cover;place:uco-valley:gallery","yes","1600","454","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-potrerillos-hero","media/places/potrerillos/hero.jpg","hero","place:potrerillos:cover;place:potrerillos:gallery","yes","2848","2134","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-puerto-madryn-hero","media/places/puerto-madryn/hero.jpg","hero","place:puerto-madryn:cover;place:puerto-madryn:gallery","yes","2560","973","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-puerto-madryn-gallery-3","media/places/puerto-madryn/gallery-3.jpg","gallery","place:puerto-madryn:gallery","yes","1183","1480","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-salta-hero","media/places/salta/hero.jpg","hero","literal:src/data/blog-category-meta.ts;literal:src/lib/blog-post-image-bindings.ts;place:salta:cover;place:salta:gallery","yes","3648","2736","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-salta-gallery-1","media/places/salta/gallery-1.jpg","gallery","blog:natsionalnyy-park-los-cardones:rich-gallery;blog:natsionalnyy-park-talampaya:rich-gallery;place:salta:gallery","yes","2304","1188","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-salta-gallery-2","media/places/salta/gallery-2.jpg","gallery","place:salta:gallery","yes","2560","1920","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-salta-gallery-3","media/places/salta/gallery-3.jpg","gallery","place:salta:gallery","yes","2560","1920","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
"place-salta-gallery-4","media/places/salta/gallery-4.jpg","gallery","place:salta:gallery","yes","2304","1728","jpeg","yes","yes","yes","none","none","metadata_gate_clean","Media editor","var/ops/media-rights-readiness.json"
