id,type,url,title,status,word_count,threshold,gap_words,quality_score,severity,recommended_action,source_path,evidence
place:purmamarca,place,/places/purmamarca,Пурмамарка,published,37,500,463,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=37; type_threshold=500
place:termas-de-rio-hondo,place,/places/termas-de-rio-hondo,Термас-де-Рио-Ондо,published,37,500,463,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=37; type_threshold=500
place:cueva-de-las-manos,place,/places/cueva-de-las-manos,Cueva de las Manos,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:potrerillos,place,/places/potrerillos,Potrerillos,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:sierra-de-las-quijadas,place,/places/sierra-de-las-quijadas,Национальный парк Сьерра-де-лас-Кихадас,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:uco-valley,place,/places/uco-valley,Valle de Uco,published,38,500,462,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=38; type_threshold=500
place:lujan-de-cuyo,place,/places/lujan-de-cuyo,Luján de Cuyo,published,39,500,461,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=39; type_threshold=500
place:maipu,place,/places/maipu,Maipú,published,39,500,461,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=39; type_threshold=500
place:el-chalten,place,/places/el-chalten,Эль-Чалтен,published,40,500,460,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=40; type_threshold=500
kb:buenos-aires-province,region,/baza-znaniy/buenos-aires-province,Провинция Буэнос-Айрес,published,341,800,459,86,medium,DEEP_REWRITE,content/knowledge-base/regiony/buenos-aires-province.md,word_count=341; type_threshold=800
place:bariloche,place,/places/bariloche,Барилоче,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:mendoza,place,/places/mendoza,Мендоса,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:parque-nacional-chaco,place,/places/parque-nacional-chaco,Национальный парк Чако,published,41,500,459,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=41; type_threshold=500
place:mar-de-las-pampas,place,/places/mar-de-las-pampas,Мар-де-лас-Пампас,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:ruinas-de-quilmes,place,/places/ruinas-de-quilmes,Руины Кильмес,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:santiago-del-estero,place,/places/santiago-del-estero,Сантьяго-дель-Эстеро,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:villa-gesell,place,/places/villa-gesell,Вилья-Хесель,published,42,500,458,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=42; type_threshold=500
place:formosa,place,/places/formosa,Формоса,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:lihue-calel,place,/places/lihue-calel,Национальный парк Лиуэ-Калель,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:los-cardones,place,/places/los-cardones,Национальный парк Лос-Кардонес,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:mercedes-corrientes,place,/places/mercedes-corrientes,Мерседес (Корриентес),published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:puerto-deseado,place,/places/puerto-deseado,Пуэрто-Десеадо,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:san-antonio-de-areco,place,/places/san-antonio-de-areco,Сан-Антонио-де-Ареко,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:san-rafael,place,/places/san-rafael,Сан-Рафаэль,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:ushuaia,place,/places/ushuaia,Ушуайя,published,43,500,457,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=43; type_threshold=500
place:punta-tombo,place,/places/punta-tombo,Пунта-Томбо,published,44,500,456,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=44; type_threshold=500
place:tandil,place,/places/tandil,Тандиль,published,44,500,456,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=44; type_threshold=500
place:parana,place,/places/parana,Парана,published,45,500,455,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=45; type_threshold=500
place:parque-nacional-rio-pilcomayo,place,/places/parque-nacional-rio-pilcomayo,Национальный парк Рио-Пилькомайо,published,45,500,455,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=45; type_threshold=500
place:patagonia-park,place,/places/patagonia-park,Национальный парк Патагония,published,45,500,455,22,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=45; type_threshold=500
place:la-cumbrecita,place,/places/la-cumbrecita,Ла-Кумбресита и Сьерры Кордовы,published,46,500,454,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=46; type_threshold=500
place:pinamar,place,/places/pinamar,Пинамар,published,46,500,454,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=46; type_threshold=500
place:tilcara,place,/places/tilcara,Тилькара,published,46,500,454,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=46; type_threshold=500
place:villavicencio,place,/places/villavicencio,Вильявисенсио,published,46,500,454,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=46; type_threshold=500
content-page:immigration:dokumenty-dlya-vyezda,immigration,/immigration/dokumenty-dlya-vyezda,Документы для въезда и выезда,published,147,600,453,38,high,DEEP_REWRITE,src/data/immigration-content.ts,word_count=147; type_threshold=600
place:bosque-petrificado,place,/places/bosque-petrificado,Национальный парк Окаменевшие леса Харамільо,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:el-bolson,place,/places/el-bolson,Эль-Больсон,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:federacion,place,/places/federacion,Федерасьон,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:iruya,place,/places/iruya,Ирую,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:merlo,place,/places/merlo,Мерло,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:tucuman,place,/places/tucuman,Сан-Мигель-де-Тукуман,published,47,500,453,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=47; type_threshold=500
place:banado-la-estrella,place,/places/banado-la-estrella,Баньядо-ла-Эстрелья,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
place:esquel,place,/places/esquel,Эскель,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
place:gualeguaychu,place,/places/gualeguaychu,Гуалегуайчу,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
place:lanin,place,/places/lanin,Национальный парк Ланин,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
place:san-ignacio-mini,place,/places/san-ignacio-mini,Сан-Игнасио-Мини,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
place:sierra-de-la-ventana,place,/places/sierra-de-la-ventana,Сьерра-де-ла-Вентана,published,48,500,452,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=48; type_threshold=500
kb:ciudad-de-corrientes,attraction,/baza-znaniy/ciudad-de-corrientes,Город Corrientes,published,49,500,451,77,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/ciudad-de-corrientes.md,word_count=49; type_threshold=500
kb:esquina,attraction,/baza-znaniy/esquina,Esquina,stub,49,500,451,77,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/esquina.md,word_count=49; type_threshold=500
place:buenos-aires,place,/places/buenos-aires,Буэнос-Айрес,published,49,500,451,47,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=49; type_threshold=500
place:kachi,place,/places/kachi,Качи,published,49,500,451,27,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=49; type_threshold=500
